4.6,3.1,1.5,0.2,Iris-setosa,4.63.11.50.2,4.6 3.1 1.5 0.2
6.9,3.1,4.9,1.5,Iris-versicolor,6.93.14.91.5,6.9 3.1 4.9 1.5
6.3,3.3,6,2.5,Iris-virginica,6.33.362.5,6.3 3.3 6 2.5
6.5,2.8,4.6,1.5,Iris-versicolor,6.52.84.61.5,6.5 2.8 4.6 1.5
6.4,3.2,4.5,1.5,Iris-versicolor,6.43.24.51.5,6.4 3.2 4.5 1.5
4.7,3.2,1.3,0.2,Iris-setosa,4.73.21.30.2,4.7 3.2 1.3 0.2
5.8,2.7,5.1,1.9,Iris-virginica,5.82.75.11.9,5.8 2.7 5.1 1.9
5.1,3.5,1.4,0.2,Iris-setosa,5.13.51.40.2,5.1 3.5 1.4 0.2
6.3,2.9,5.6,1.8,Iris-virginica,6.32.95.61.8,6.3 2.9 5.6 1.8
5,3.6,1.4,0.2,Iris-setosa,53.61.40.2,5 3.6 1.4 0.2
5.5,2.3,4,1.3,Iris-versicolor,5.52.341.3,5.5 2.3 4 1.3
7.1,3,5.9,2.1,Iris-virginica,7.135.92.1,7.1 3 5.9 2.1
6.5,3,5.8,2.2,Iris-virginica,6.535.82.2,6.5 3 5.8 2.2
7,3.2,4.7,1.4,Iris-versicolor,73.24.71.4,7 3.2 4.7 1.4
4.9,3,1.4,0.2,Iris-setosa,4.931.40.2,4.9 3 1.4 0.2
